Year,Y_Total,Y_Primary,Y_Secondary,Y_Tertiary,L_Total,L_Primary,L_Secondary,L_Tertiary,Prod_Total_Scaled,Prod_Primary_Scaled,Prod_Secondary_Scaled,Prod_Tertiary_Scaled,Prod_Total_Index,Prod_Primary_Index,Prod_Secondary_Index,Prod_Tertiary_Index,Rel_Prod_Primary,Rel_Prod_Secondary,Rel_Prod_Tertiary,Share_L_Primary,Share_L_Secondary,Share_L_Tertiary
2025.0,134.63963723359996,109.4707279714557,127.42763588905306,138.9954076843508,10673000.0,2721615.0,2646904.0,5304481.000000001,12.614975848739807,40.22270893254766,48.14214489420586,26.203394391336452,100.0,100.0,100.0,100.0,3.188488778324991,3.816269287508394,2.0771656407058505,0.255,0.248,0.4970000000000001
2024.0,128.5956420569245,105.56482928780686,121.59125561932544,133.0099595065558,10662327.0,2806999.0,2582866.0,5272462.0,12.060748282895892,37.60771887977404,47.076099038558496,25.227295996928152,95.60659035348624,93.49872218413017,97.78562866696106,96.27491621951457,3.118191176670847,3.9032486156203166,2.09168580631971,0.26326326326326327,0.24224224224224225,0.4944944944944945
2023.0,123.88790178894462,110.53908825948362,116.69026450990924,127.16057314202274,10662327.0,2967094.0000000005,2540174.0,5155059.0,11.619217998936312,37.25500043459479,45.93790209249809,24.667142149492904,92.1065417663644,92.62180848403416,95.42138638286333,94.13720139116222,3.206325971163061,3.953613926230104,2.1229606116135415,0.27827827827827833,0.23823823823823823,0.48348348348348347
2022.0,119.46760056793117,108.58456607021967,115.76415129951313,121.10530775430736,10662327.0,3127189.0,2476136.0,5059002.0,11.20464609347764,34.722738558564785,46.75193579816017,23.93857676955007,88.82019456737164,86.3262059668677,97.11228259750219,91.35677772138105,3.0989589737044274,4.1725490843816155,2.13648664757783,0.2932932932932933,0.23223223223223224,0.4744744744744745
2021.0,117.3552068447261,123.11175291408125,117.64649522308245,113.39448291601812,10662327.0,3329976.0,2444117.0,4888234.0,11.006528579054656,36.97076282654327,48.13455952521195,23.197433452657567,87.24969996794857,91.91514894867522,99.98424380756074,88.52835287754652,3.35898485712365,4.3732734785072624,2.1076067068777813,0.3123123123123123,0.22922922922922923,0.45845845845845845
2020.0,108.4613741633328,103.45525454964812,109.13404009562379,107.27954864334733,10662327.0,3340649.0,2444117.0,4877561.0,10.172392402083787,30.968609557498592,44.651724977005514,21.994506812594928,80.63743065429628,76.99284901330756,92.74976234467603,83.9376245844962,3.044378188866835,4.3895008383533,2.162176402877401,0.3133133133133133,0.22922922922922923,0.4574574574574575
2019.0,116.87648077945346,111.3619532289,115.12029545951877,116.48159461818385,10662327.0,3468725.0,2401425.0,4792177.0,10.96162974362477,32.10457826114783,47.938326393503345,24.306613595070434,86.89378303264685,79.81704642267208,99.57663186559216,92.76131646175907,2.9288143288929915,4.373284585842177,2.2174269851804693,0.3253253253253253,0.22522522522522523,0.4494494494494494
2018.0,113.58258579149997,115.88132490000001,110.58625884679998,112.10933072009996,10662327.0,3671511.9999999995,2390751.9999999995,4600063.0,10.652701402939524,31.56228956898412,46.25584705013318,24.37125985450633,84.44488147001638,78.46883118169188,96.08181594688419,93.00802594706633,2.9628437309126836,4.34217061949838,2.287800899758749,0.3443443443443443,0.22422422422422417,0.4314314314314314
2017.0,110.16739649999998,110.89122000000002,107.2611628,108.94978689999998,10651654.0,3746223.0000000005,2401425.0,4504006.0,10.34275019635448,29.600805931734442,44.66563094829112,24.18952969867269,81.98787156130534,73.59227341294728,92.7786475788428,92.31448925056213,2.8619859679263904,4.318544884129026,2.3387908669783783,0.3517034068136273,0.22545090180360722,0.4228456913827655
2016.0,104.82149999999999,92.796,103.73419999999999,105.46929999999999,10662327.0,4055740.0,2252003.0,4354584.0,9.831015312135895,22.880164902089387,46.06308250921513,24.220292914317415,77.93130506165797,56.883699555041844,95.68140889950052,92.4318908939725,2.3273450580272184,4.685485786229278,2.463661396643201,0.38038038038038036,0.21121121121121122,0.4084084084084084
2015.0,104.3,114.00000000000001,101.8,102.1,10651654.0,4162470.0,2187965.0,4301219.0,9.791906496399527,27.387584775385772,46.527252492612995,23.73745675353894,77.62128611112406,68.08985645724155,96.64557446465743,90.58924351185273,2.7969614278339114,4.751603021303462,2.4241915261616493,0.3907815631262525,0.20541082164328658,0.40380761523046094
